,,,,Overall,,,,,,,PP,,SH,,Defense,
Greg Pateryn,MIN,D,80,1,6,7,-11,41,100,0,0,0,0,0,144,118
Nolan Patrick,PHI,C,72,13,18,31,-8,27,115,3,1,1,0,0,72,26
Nick Paul,OTT,LW,20,1,1,2,-10,4,30,0,0,0,0,0,28,4
Joe Pavelski,DAL,C,75,38,26,64,-4,22,188,6,12,9,1,0,69,61
Tanner Pearson,VAN,LW,80,18,9,27,-15,25,147,1,3,2,0,0,128,41
Matthew Peca,MON,C,39,3,7,10,-14,4,35,0,0,0,0,1,33,21
Adam Pelech,NYI,D,78,5,16,21,22,24,110,0,0,0,0,0,149,116
Anthony Peluso,EDM,RW,4,0,0,0,-1,7,1,0,0,0,0,0,4,0
Brendan Perlini,CHI,LW,68,14,7,21,-17,28,117,0,2,2,0,0,51,22
Mathieu Perreault,WPG,C,82,15,15,30,-1,44,95,3,4,3,0,0,127,25
David Perron,STL,RW,57,23,23,46,3,46,112,1,7,7,0,0,52,13
Corey Perry,DAL,RW,31,6,4,10,-16,27,59,1,2,2,0,0,21,14
Brett Pesce,CAR,D,73,7,22,29,35,24,98,2,0,0,0,2,53,131
Nicolas Petan,TOR,C,18,1,2,3,-5,2,15,1,0,0,0,0,2,4
Alex Petrovic,BOS,D,35,0,2,2,-15,26,47,0,0,0,0,0,116,53
Jeff Petry,MON,D,82,13,33,46,-5,28,172,4,3,8,0,1,190,123
Elias Pettersson,VAN,C,71,28,38,66,3,12,144,7,10,12,0,0,42,51
Marcus Pettersson,PIT,D,84,2,23,25,17,66,87,0,1,4,0,1,101,108
Dion Phaneuf,FA,D,67,1,5,6,-21,53,80,0,0,0,0,0,128,79
Blake Pietila,ANH,LW,19,0,1,1,-7,6,22,0,0,0,0,0,36,8
Alex Pietrangelo,STL,D,71,13,28,41,2,22,168,2,3,12,0,1,62,139
Lawrence Pilut,BUF,D,33,1,5,6,-8,20,37,0,0,0,0,0,20,33
Neal Pionk,WPG,D,73,6,20,26,-16,35,132,1,2,11,0,1,138,98
Brandon Pirri,VGK,C,31,12,6,18,7,6,82,3,3,1,0,0,29,13
Rem Pitlick,NSH,C,1,0,0,0,0,2,0,0,0,0,0,0,0,0
Tyler Pitlick,PHI,C,47,8,4,12,-2,6,75,1,1,0,0,0,93,27
Tomas Plekanec,FA,C,3,1,0,1,0,0,8,0,0,0,0,0,1,1
Ryan Poehling,MON,C,1,3,0,3,3,0,3,0,0,0,0,0,1,0
Brayden Point,TB,C,79,41,51,92,27,28,191,7,20,15,0,0,31,43
Roman Polak,DAL,D,77,1,8,9,6,69,77,0,0,0,0,0,191,152
Jason Pominville,FA,RW,73,16,15,31,-4,4,134,3,1,1,0,0,18,20
Derrick Pouliot,STL,D,62,3,9,12,-1,30,58,1,1,0,0,0,76,71
Nate Prosser,PHI,D,15,0,0,0,1,2,10,0,0,0,0,0,17,13
Dalton Prout,SJ,D,20,1,1,2,1,8,14,0,0,0,0,0,36,20
Ivan Provorov,PHI,D,82,7,19,26,-16,32,145,1,0,2,0,0,123,149
Matt Puempel,DET,LW,8,1,0,1,-2,2,10,0,1,0,0,0,4,5
Jesse Puljujarvi,FA,RW,46,4,5,9,-14,16,53,0,0,1,0,0,46,26
Ryan Pulock,NYI,D,82,9,28,37,21,22,180,3,3,6,0,0,143,148
Tom Pyatt,FA,C,37,0,2,2,-16,2,29,0,0,0,0,0,15,46
Mark Pysyk,FLA,D,70,1,10,11,-1,26,64,0,0,0,0,1,133,89
John Quenneville,CHI,C,19,1,0,1,-1,4,16,1,0,0,0,0,21,7
Alan Quine,CGY,C,13,3,2,5,0,6,11,0,1,0,0,0,14,2
Lukas Radil,SJ,LW,36,7,4,11,7,6,40,2,0,0,0,0,29,9
Alexander Radulov,DAL,RW,70,29,43,72,22,54,209,7,7,16,0,0,60,83
Brogan Rafferty,VAN,D,2,0,0,0,-1,0,3,0,0,0,0,0,0,2
Michael Raffl,PHI,LW,67,6,12,18,-1,32,65,1,0,0,1,0,96,29
Rickard Rakell,ANH,C,69,18,25,43,-13,27,194,2,6,7,0,0,82,38
Mikko Rantanen,COL,RW,74,31,56,87,13,54,193,4,16,17,0,0,59,41
Victor Rask,MIN,C,49,3,6,9,-4,8,55,0,0,2,0,0,40,12
Michael Rasmussen,DET,C,62,8,10,18,-8,29,74,0,4,0,0,0,84,28
Ty Rattie,FA,RW,50,4,7,11,-2,4,84,1,0,1,0,0,57,7
Kyle Rau,MIN,C,6,0,1,1,0,0,6,0,0,0,0,0,11,2
Matt Read,TOR,RW,12,1,0,1,-2,2,13,0,0,0,0,0,11,8
Ryan Reaves,VGK,RW,80,9,11,20,1,74,95,2,3,0,0,0,305,24
Mike Reilly,MON,D,57,3,8,11,0,16,101,1,1,0,0,0,48,53
Sam Reinhart,BUF,C,82,22,43,65,-10,16,180,1,2,13,0,0,38,47
Sheldon Rempal,LA,LW,7,0,0,0,-1,0,3,0,0,0,0,0,0,1
Anthony Richard,NSH,C,1,0,0,0,-1,0,0,0,0,0,0,0,0,1
Brad Richardson,ARI,C,66,19,8,27,6,22,128,3,0,0,3,3,63,55
Tobias Rieder,CGY,RW,67,0,11,11,-8,8,92,0,0,2,0,0,69,44
Morgan Rielly,TOR,D,82,20,52,72,24,14,223,5,3,18,0,0,61,114
James van Riemsdyk,PHI,LW,66,27,21,48,-10,18,167,4,8,5,0,0,34,16
Trevor van Riemsdyk,CAR,D,78,3,11,14,-4,10,102,1,0,0,0,0,42,84
Juuso Riikola,PIT,D,37,2,3,5,3,10,43,1,2,0,0,0,86,38
Zac Rinaldo,CGY,C,23,1,2,3,1,20,11,1,0,0,0,0,47,8
Rasmus Ristolainen,BUF,D,78,5,38,43,-41,38,182,2,1,16,0,0,235,121
Brett Ritchie,BOS,RW,53,4,2,6,-7,57,57,2,1,0,0,0,126,13
Nick Ritchie,ANH,LW,60,9,22,31,6,82,96,2,2,7,0,0,123,31
Eric Robinson,CLS,LW,13,0,0,0,-4,0,18,0,0,0,0,0,24,1
Jack Rodewald,OTT,RW,6,0,0,0,0,0,2,0,0,0,0,0,8,3
Evan Rodrigues,BUF,C,74,9,20,29,-7,25,168,1,2,2,0,3,33,33
Kevin Rooney,NJ,C,41,6,4,10,-4,15,39,1,0,0,1,0,77,22
Jacob De La Rose,DET,C,60,3,6,9,-13,16,55,0,0,0,0,0,72,29
Calle Rosen,COL,D,4,1,0,1,-3,0,5,0,0,0,0,0,1,2
Jack Roslovic,WPG,RW,77,9,15,24,-2,4,74,0,5,2,0,0,32,21
Antoine Roussel,VAN,LW,65,9,22,31,5,118,84,1,0,0,0,0,87,50
Carter Rowney,ANH,C,62,7,13,20,0,12,53,0,0,0,1,0,178,35
Kevin Roy,FLA,C,3,0,0,0,-1,0,2,0,0,0,0,0,0,2
Matt Roy,LA,D,25,2,4,6,-1,8,34,1,0,0,0,0,38,47
Nicolas Roy,VGK,C,6,0,0,0,0,2,1,0,0,0,0,0,7,1
Chad Ruhwedel,PIT,D,18,1,1,2,-9,4,22,1,0,0,0,0,40,16
Kris Russell,EDM,D,72,3,13,16,5,27,63,0,0,0,0,1,93,185
Patrick Russell,EDM,RW,6,0,0,0,0,2,6,0,0,0,0,0,9,2
Bryan Rust,PIT,RW,72,18,17,35,10,24,141,4,0,0,2,2,119,59
Jan Rutta,TB,D,37,2,6,8,4,16,42,0,0,0,0,0,24,30
Bobby Ryan,OTT,RW,78,15,27,42,-29,35,160,1,7,9,0,0,77,49
Derek Ryan,CGY,C,81,13,25,38,21,24,103,1,2,5,0,4,19,19
Joakim Ryan,LA,D,44,0,7,7,-1,15,35,0,0,0,0,0,43,39
Kerby Rychel,FA,LW,2,0,0,0,-1,0,1,0,0,0,0,0,3,1
Brandon Saad,CHI,LW,80,23,24,47,-9,12,195,3,5,1,3,0,52,25
Miikka Salomaki,NSH,RW,37,3,4,7,5,8,51,0,0,0,0,0,72,20
Zachary Sanford,STL,LW,60,8,12,20,8,21,77,2,0,1,0,0,48,37
Travis Sanheim,PHI,D,82,9,26,35,-4,22,121,2,2,3,0,0,45,133
Steve Santini,NSH,D,39,1,3,4,-6,16,41,0,0,0,0,0,80,43
Ashton Sautner,VAN,D,17,0,1,1,-2,2,21,0,0,0,0,0,25,17
David Savard,CLS,D,82,8,16,24,19,36,124,1,0,0,0,0,122,123
Luca Sbisa,NYI,D,9,0,1,1,0,4,5,0,0,0,0,0,17,7
Marco Scandella,BUF,D,63,6,7,13,-13,26,83,1,0,0,0,1,53,75
Colton Sceviour,FLA,RW,59,5,10,15,-2,15,116,0,0,1,0,0,89,58
Tim Schaller,VAN,C,47,3,7,10,-2,9,44,0,0,0,0,0,66,18
Mark Scheifele,WPG,C,82,38,46,84,8,38,199,6,12,11,0,3,54,54
Brayden Schenn,STL,LW,72,17,37,54,3,40,159,5,4,8,0,0,111,31
Luke Schenn,TB,D,26,0,2,2,-10,16,30,0,0,0,0,0,105,39
Nikita Scherbak,FA,RW,8,1,0,1,-4,2,12,0,0,0,0,0,9,1
Cameron Schilling,WPG,D,4,0,1,1,0,0,2,0,0,0,0,0,3,5
David Schlemko,FA,D,18,0,2,2,-1,4,29,0,0,2,0,0,29,45
Jordan Schmaltz,TOR,D,20,0,2,2,-7,2,11,0,0,0,0,0,10,22
Nick Schmaltz,ARI,RW,40,7,18,25,-12,8,62,2,5,3,0,0,5,12
Nate Schmidt,VGK,D,61,9,21,30,22,8,112,1,1,7,0,0,37,100
Jimmy Schuldt,VGK,D,1,0,1,1,-1,0,1,0,0,0,0,0,0,1
Justin Schultz,PIT,D,29,2,13,15,0,4,47,0,1,5,0,0,25,41
Jaden Schwartz,STL,LW,69,11,25,36,-6,16,183,1,2,3,0,0,61,27
Brent Seabrook,CHI,D,78,5,23,28,-6,41,165,1,2,8,0,1,124,180
Lukas Sedlak,FA,C,47,4,2,6,-5,10,43,0,0,0,0,0,69,20
Nick Seeler,MIN,D,71,2,5,7,-4,64,67,1,0,0,0,0,78,116
Tyler Seguin,DAL,C,82,33,47,80,17,18,334,8,9,18,0,0,74,47
Andrej Sekera,DAL,D,24,0,4,4,3,6,28,0,0,1,0,0,17,21
Brett Seney,NJ,LW,51,5,8,13,-14,31,49,0,0,1,0,0,48,15
Zachary Senyshyn,BOS,RW,2,1,0,1,0,0,4,0,0,0,0,0,1,0
Mikhail Sergachev,TB,D,75,6,26,32,12,28,128,0,0,6,0,0,97,93
Damon Severson,NJ,D,82,11,28,39,-27,58,146,0,3,9,0,1,83,87
Kevin Shattenkirk,TB,D,73,2,26,28,-15,20,148,0,1,6,0,0,73,104
Andrew Shaw,CHI,C,63,19,28,47,17,71,135,3,3,3,0,0,128,36
Riley Sheahan,EDM,C,82,9,10,19,-9,17,110,2,0,0,1,1,72,44
Conor Sheary,BUF,LW,78,14,20,34,-18,12,147,3,4,2,0,0,29,29
Kiefer Sherwood,ANH,LW,50,6,6,12,1,8,60,1,0,0,0,0,79,19
Kole Sherwood,CLS,C,2,0,0,0,0,0,2,0,0,0,0,0,10,1
Devin Shore,ANH,C,76,10,19,29,-12,13,82,4,2,3,2,0,94,64
Jonas Siegenthaler,WAS,D,26,0,4,4,6,10,12,0,0,0,0,0,31,44
Dylan Sikura,CHI,LW,33,0,8,8,2,0,52,0,0,0,0,0,3,10
Jakob Silfverberg,ANH,RW,73,24,19,43,-9,28,163,4,3,8,2,1,38,43
Radim Simek,SJ,D,41,1,8,9,7,8,41,1,0,0,0,0,67,34
Wayne Simmonds,NJ,RW,79,17,13,30,-16,99,157,2,5,3,0,0,137,28
Dominik Simon,PIT,C,71,8,20,28,8,18,121,0,1,2,0,0,89,19
Colton Sissons,NSH,RW,75,15,15,30,20,23,111,3,1,1,0,1,109,52
Jeff Skinner,BUF,LW,82,40,23,63,0,36,268,7,8,8,0,0,31,24
Brady Skjei,NYR,D,78,8,17,25,-4,44,126,1,0,0,0,1,178,119
Jaccob Slavin,CAR,D,82,8,23,31,0,18,146,1,5,2,1,1,70,133
Brendan Smith,NYR,D,63,4,9,13,-7,71,66,0,0,0,0,1,100,48
C.J. Smith,BUF,LW,11,2,0,2,0,0,18,1,0,0,0,0,4,1
Craig Smith,NSH,RW,76,21,17,38,11,20,205,2,4,4,0,0,77,33
Gemel Smith,TB,C,17,2,1,3,-4,0,14,0,0,0,0,0,13,3
Reilly Smith,VGK,RW,74,19,34,53,13,14,178,1,4,10,1,3,39,33
Zack Smith,CHI,C,70,9,19,28,-6,81,101,1,0,0,1,2,136,27
Devante Smith-Pelly,CGY,RW,54,4,4,8,-6,15,60,0,0,0,0,0,78,36
Vladimir Sobotka,BUF,C,69,5,8,13,-20,26,71,0,0,0,0,1,87,30
Carl Soderberg,ARI,C,82,23,26,49,-5,26,188,2,2,8,3,0,99,67
Marcus Sorensen,SJ,RW,80,17,13,30,10,23,100,1,0,0,1,1,88,29
Nikita Soshnikov,FA,LW,5,0,0,0,-1,0,1,0,0,0,0,0,5,2
Jason Spezza,TOR,C,76,8,19,27,-13,29,121,1,2,10,0,0,16,30
Ryan Spooner,FA,C,52,3,6,9,-12,2,67,1,0,1,0,0,39,7
Daniel Sprong,ANH,RW,63,14,9,23,-16,10,125,3,2,3,0,0,35,14
Jared Spurgeon,MIN,D,82,14,29,43,-1,20,152,0,4,7,0,1,91,145
Eric Staal,MIN,C,81,22,30,52,-7,34,215,6,7,8,0,1,41,28
Jordan Staal,CAR,C,50,11,17,28,6,26,121,1,0,2,0,0,122,18
Marc Staal,NYR,D,79,3,10,13,-9,32,84,0,0,0,0,0,94,119
Drew Stafford,MIN,RW,57,5,8,13,-7,18,77,0,1,1,0,0,50,19
Steven Stamkos,TB,C,82,45,53,98,4,37,234,6,19,21,2,0,72,40
Paul Stastny,VGK,C,50,13,29,42,14,30,103,2,1,3,1,1,35,15
Troy Stecher,VAN,D,78,2,21,23,9,32,105,0,0,2,1,0,91,96
Sam Steel,ANH,C,22,6,5,11,2,8,33,0,0,2,1,0,9,6
Alexander Steen,STL,LW,65,10,17,27,2,14,114,0,2,3,1,1,55,50
Lee Stempniak,FA,RW,2,0,0,0,-1,0,0,0,0,0,0,0,2,0
Kevin Stenlund,CLS,C,4,0,0,0,0,4,3,0,0,0,0,0,3,1
Derek Stepan,ARI,C,72,15,20,35,-2,14,195,3,1,2,3,0,50,51
Chandler Stephenson,WAS,RW,64,5,6,11,-13,0,36,0,0,0,1,0,38,33
Riley Stillman,FLA,D,1,0,0,0,0,2,1,0,0,0,0,0,5,0
Mark Stone,VGK,RW,77,33,40,73,17,27,199,4,6,14,1,0,72,71
Michael Stone,CGY,D,14,0,5,5,0,10,12,0,0,0,0,0,27,16
Anton Stralman,FLA,D,47,2,15,17,12,8,57,0,0,1,0,0,59,71
Ben Street,NJ,C,21,3,2,5,-4,2,19,0,0,0,0,0,19,9
Dylan Strome,CHI,C,78,20,37,57,-8,20,145,3,6,10,0,0,13,46
Ryan Strome,NYR,C,81,19,16,35,-3,64,110,2,4,3,0,0,76,36
Nico Sturm,MIN,C,2,0,0,0,0,0,7,0,0,0,0,0,3,2
P.K. Subban,NJ,D,63,9,22,31,5,60,168,1,2,8,1,0,56,75
Libor Sulak,FA,D,6,0,0,0,-4,6,7,0,0,0,0,0,18,5
Oskar Sundqvist,STL,C,74,14,17,31,-1,22,113,2,0,1,1,1,101,31
Antti Suomela,SJ,C,27,3,5,8,1,4,42,0,0,0,0,0,10,11
Andrej Sustr,FA,D,5,0,0,0,0,6,6,0,0,0,0,0,3,7
Ryan Suter,MIN,D,82,7,40,47,-8,41,136,2,3,12,1,1,78,109
Brandon Sutter,VAN,C,26,4,2,6,-12,6,43,0,1,0,1,0,33,13
Andrei Svechnikov,CAR,RW,82,20,17,37,0,62,189,3,0,5,0,0,123,26
Brandon Tanev,PIT,LW,80,14,15,29,9,41,127,0,0,0,2,1,278,81
Chris Tanev,VAN,D,55,2,10,12,3,18,51,0,0,0,0,0,29,122
Eric Tangradi,FA,LW,6,0,1,1,-3,0,10,0,0,0,0,0,11,4
Vladimir Tarasenko,STL,RW,76,33,35,68,8,22,275,5,12,10,0,0,88,40
Tomas Tatar,MON,LW,80,25,33,58,21,34,195,4,4,4,0,0,77,30
John Tavares,TOR,C,82,47,41,88,19,34,286,8,10,9,0,0,59,53
Matt Tennyson,NJ,D,4,0,0,0,-4,0,4,0,0,0,0,0,10,2
Teuvo Teravainen,CAR,C,82,21,55,76,30,12,167,1,8,16,1,4,35,23
Troy Terry,ANH,C,32,4,9,13,8,2,25,0,2,4,0,0,4,12
Josh Teves,VAN,D,1,0,0,0,-1,2,0,0,0,0,0,0,4,1
Alexandre Texier,CLS,C,2,1,0,1,3,0,6,0,0,0,0,0,2,1
Shea Theodore,VGK,D,79,12,25,37,-4,20,202,1,4,5,0,1,27,91
Robert Thomas,STL,C,70,9,24,33,-2,14,80,0,3,4,0,0,13,22
Nate Thompson,MON,C,78,5,8,13,-1,17,71,0,0,0,0,0,87,44
Tage Thompson,BUF,RW,65,7,5,12,-22,20,108,0,1,0,0,0,66,9
Chris Thorburn,FA,RW,1,0,0,0,0,0,0,0,0,0,0,0,1,0
Joe Thornton,SJ,C,73,16,35,51,8,20,90,4,3,12,0,0,17,14
Chris Tierney,OTT,C,81,9,39,48,-22,26,116,1,0,10,0,0,30,54
Brady Tkachuk,OTT,LW,71,22,23,45,-10,75,214,3,4,6,0,0,174,26
Matthew Tkachuk,CGY,LW,80,34,43,77,14,62,207,2,11,13,0,0,104,13
Devon Toews,NYI,D,48,5,13,18,7,4,81,2,1,3,0,0,24,30
Jonathan Toews,CHI,C,82,35,46,81,2,40,235,5,9,14,1,0,42,44
Tyler Toffoli,LA,RW,82,13,21,34,-16,23,226,3,3,2,0,0,39,23
Eeli Tolvanen,NSH,LW,4,1,1,2,2,0,2,0,0,1,0,0,4,2
Dominic Toninato,FLA,LW,2,1,0,1,0,0,1,0,0,0,0,0,0,1
Vincent Trocheck,FLA,C,55,10,24,34,-9,54,158,1,3,10,1,0,112,42
Zach Trotman,PIT,D,13,0,1,1,4,4,16,0,0,1,0,0,20,18
Jacob Trouba,NYR,D,82,8,42,50,8,58,162,1,3,15,1,2,112,171
Alex Tuch,VGK,RW,74,20,32,52,13,8,180,6,3,3,0,0,92,40
Dominic Turgeon,DET,C,4,0,0,0,-3,0,2,0,0,0,0,0,3,3
Kyle Turris,NSH,C,55,7,16,23,-6,33,78,1,4,2,0,0,24,15
Urho Vaakanainen,BOS,D,2,0,0,0,-1,0,2,0,0,0,0,0,0,0
Juuso Valimaki,CGY,D,24,1,2,3,-2,12,28,1,0,0,0,0,21,43
Thomas Vanek,FA,LW,64,16,20,36,-12,26,108,1,4,7,0,0,38,13
Philip Varone,MON,C,47,3,4,7,-2,8,34,0,0,0,0,0,23,19
Sami Vatanen,NJ,D,50,4,13,17,-17,22,107,0,3,2,0,0,68,77
Frank Vatrano,FLA,LW,81,24,15,39,-10,38,208,1,2,6,0,0,139,74
Max Veronneau,OTT,RW,12,2,2,4,-5,0,15,0,1,0,0,0,0,5
Kristian Vesalainen,WPG,LW,5,0,1,1,0,0,1,0,0,0,0,0,1,1
Jimmy Vesey,BUF,LW,81,17,18,35,-6,21,154,4,1,3,0,0,79,34
Jake Virtanen,VAN,LW,70,15,10,25,-4,44,154,1,2,0,0,0,154,37
Marc-Edouard Vlasic,SJ,D,72,3,22,25,-6,10,100,0,0,1,0,0,23,114
Jakub Voracek,PHI,LW,78,20,46,66,-16,25,210,2,4,14,0,0,17,29
Mikhail Vorobyov,PHI,C,15,1,1,2,0,2,10,0,0,0,0,0,4,4
Jakub Vrana,WAS,RW,82,24,23,47,20,27,161,4,1,3,0,0,47,32
Austin Wagner,LA,LW,62,12,9,21,2,16,67,0,0,0,0,0,142,9
Chris Wagner,BOS,RW,76,12,7,19,3,51,135,1,0,0,0,0,247,38
Nathan Walker,STL,C,3,0,1,1,1,2,2,0,0,0,0,0,5,0
Sean Walker,LA,D,39,3,7,10,-8,8,55,0,1,0,0,0,43,40
Lucas Wallmark,CAR,C,81,10,18,28,-8,36,131,4,2,5,0,0,82,39
Austin Watson,NSH,LW,37,7,9,16,11,39,64,1,1,0,0,0,109,28
Jordan Weal,MON,C,63,8,13,21,-8,18,75,1,2,4,0,0,28,26
Shea Weber,MON,D,58,14,19,33,15,28,166,3,5,1,0,0,129,110
Yannick Weber,NSH,D,62,2,6,8,7,18,67,0,0,0,0,0,64,32
MacKenzie Weegar,FLA,D,64,4,11,15,-3,64,79,2,0,1,0,0,127,103
Dale Weise,MON,RW,51,5,6,11,-8,19,58,1,0,0,1,0,88,21
Andy Welinski,PHI,D,26,1,3,4,-5,8,32,0,0,0,0,0,47,18
Alexander Wennberg,CLS,C,75,2,23,25,-1,12,64,0,1,5,1,2,34,32
Zach Werenski,CLS,D,82,11,33,44,-12,18,168,1,2,13,0,0,67,89
Blake Wheeler,WPG,RW,82,20,71,91,0,60,231,3,2,31,2,1,81,53
Colin White,OTT,C,71,14,27,41,-24,24,123,2,5,3,0,0,23,35
Colton White,NJ,D,3,0,0,0,-2,2,1,0,0,0,0,0,2,2
Chris Wideman,ANH,D,25,2,5,7,-12,18,27,1,0,1,0,0,35,26
Justin Williams,FA,RW,82,23,30,53,-4,44,237,5,9,5,0,0,55,32
Colin Wilson,COL,LW,65,12,15,27,-6,8,104,2,5,2,0,0,55,31
Garrett Wilson,TOR,LW,50,2,6,8,2,18,54,0,0,0,0,0,114,16
Scott Wilson,BUF,LW,15,0,3,3,-8,4,25,0,0,0,0,0,29,2
Tom Wilson,WAS,RW,63,22,18,40,11,128,130,2,3,2,2,0,200,52
Luke Witkowski,TB,D,34,0,2,2,-5,23,14,0,0,0,0,0,67,27
Christian Wolanin,OTT,D,30,4,8,12,3,6,36,1,0,3,0,0,11,31
Miles Wood,NJ,LW,63,10,14,24,-10,91,159,1,1,2,0,0,97,27
Egor Yakovlev,FA,D,25,2,5,7,-6,6,24,0,0,0,0,0,12,22
Kailer Yamamoto,EDM,LW,17,1,1,2,-6,2,13,0,0,1,0,0,18,11
Keith Yandle,FLA,D,82,9,53,62,-17,50,199,2,7,32,0,0,47,76
Pavel Zacha,NJ,C,61,13,12,25,-6,15,99,2,4,2,2,1,68,24
Filip Zadina,DET,LW,9,1,2,3,-5,0,18,0,1,1,0,0,6,3
Nikita Zadorov,COL,D,70,7,7,14,19,75,100,0,0,0,0,0,228,67
Nikita Zaitsev,OTT,D,81,3,11,14,2,18,71,0,0,0,0,0,139,151
Travis Zajac,NJ,C,80,19,27,46,-25,20,120,3,5,7,2,0,66,38
Jakub Zboril,BOS,D,2,0,0,0,0,0,1,0,0,0,0,0,3,0
Mika Zibanejad,NYR,C,82,30,44,74,-12,47,236,5,11,12,2,0,134,66
Michael Del Zotto,ANH,D,42,1,9,10,-2,8,45,0,0,0,0,0,129,53
Mats Zuccarello,MIN,RW,48,12,28,40,-8,24,104,1,3,12,0,0,57,43
Jason Zucker,MIN,LW,81,21,21,42,-9,28,214,5,7,7,0,0,87,38
Valentin Zykov,VGK,RW,28,2,3,5,-5,2,29,0,0,2,0,0,26,6
